Open,Close,High,Low,Time,Volume
1.36654,1.37042,1.3706,1.36196,2013.12.06 00:00:00,70936
1.3713,1.3738,1.37456,1.36941,2013.12.09 00:00:00,48993
1.3738,1.37603,1.37946,1.3734,2013.12.10 00:00:00,56277
1.37602,1.37853,1.38104,1.37404,2013.12.11 00:00:00,58201
1.37852,1.37524,1.38033,1.37376,2013.12.12 00:00:00,71922
1.37523,1.37405,1.37691,1.37092,2013.12.13 00:00:00,60081
1.37276,1.37598,1.37984,1.37276,2013.12.16 00:00:00,56481
1.376,1.37673,1.37821,1.3723,2013.12.17 00:00:00,56631
1.37671,1.3683,1.38111,1.36744,2013.12.18 00:00:00,84865
1.36826,1.36605,1.36938,1.36491,2013.12.19 00:00:00,76476
1.36611,1.36712,1.37091,1.36251,2013.12.20 00:00:00,75526
1.36715,1.36951,1.37164,1.36665,2013.12.23 00:00:00,46452
1.36959,1.3675,1.37131,1.36547,2013.12.24 00:00:00,29749
1.36785,1.36903,1.37017,1.36616,2013.12.26 00:00:00,29411
1.369,1.37473,1.38929,1.36871,2013.12.27 00:00:00,64821
1.37543,1.38024,1.38189,1.3728,2013.12.30 00:00:00,54460
1.38012,1.37771,1.38123,1.37595,2013.12.31 00:00:00,37070
1.37493,1.36713,1.37748,1.36293,2014.01.02 00:00:00,86435
1.36688,1.35875,1.36722,1.35821,2014.01.03 00:00:00,66705
1.35931,1.36277,1.36528,1.35711,2014.01.06 00:00:00,68116
1.36279,1.36149,1.3656,1.35966,2014.01.07 00:00:00,68796
1.36151,1.35753,1.36349,1.35533,2014.01.08 00:00:00,77719
1.35742,1.36081,1.36328,1.35481,2014.01.09 00:00:00,81043
1.3608,1.36688,1.36869,1.35704,2014.01.10 00:00:00,74126
1.3678,1.36706,1.36844,1.36372,2014.01.13 00:00:00,66715
1.36696,1.36784,1.36991,1.36488,2014.01.14 00:00:00,66235
1.36783,1.36044,1.36814,1.35812,2014.01.15 00:00:00,67425
1.36043,1.36192,1.36493,1.35828,2014.01.16 00:00:00,69636
1.36192,1.35395,1.36207,1.35169,2014.01.17 00:00:00,63636
1.35364,1.3551,1.35676,1.35073,2014.01.20 00:00:00,47993
1.3553,1.35601,1.35685,1.35161,2014.01.21 00:00:00,64310
1.356,1.35468,1.35833,1.35344,2014.01.22 00:00:00,60810
1.35467,1.36957,1.36981,1.35302,2014.01.23 00:00:00,90296
1.36958,1.36751,1.37392,1.36623,2014.01.24 00:00:00,87581
1.36772,1.36726,1.37163,1.36528,2014.01.27 00:00:00,75951
1.36724,1.36701,1.36881,1.36289,2014.01.28 00:00:00,64315
1.3669,1.36617,1.36845,1.36028,2014.01.29 00:00:00,91804
1.36609,1.35542,1.36651,1.35433,2014.01.30 00:00:00,84505
1.35543,1.34843,1.35731,1.34789,2014.01.31 00:00:00,91898
1.34832,1.35246,1.35352,1.34768,2014.02.03 00:00:00,79715
1.35246,1.35178,1.35382,1.34932,2014.02.04 00:00:00,70187
1.35179,1.35323,1.35553,1.34984,2014.02.05 00:00:00,72602
1.35321,1.35893,1.36185,1.34835,2014.02.06 00:00:00,75862
1.35891,1.36329,1.36428,1.35516,2014.02.07 00:00:00,68766
1.36159,1.36451,1.36513,1.36151,2014.02.10 00:00:00,48115
1.3645,1.3637,1.36826,1.36291,2014.02.11 00:00:00,62200
1.36371,1.35926,1.36511,1.3562,2014.02.12 00:00:00,63466
1.35921,1.36793,1.36917,1.3585,2014.02.13 00:00:00,66121
1.36792,1.36903,1.37145,1.36733,2014.02.14 00:00:00,53227
1.37085,1.37061,1.37238,1.36917,2014.02.17 00:00:00,39367
1.37063,1.37578,1.37698,1.36943,2014.02.18 00:00:00,56501
1.37577,1.37324,1.37728,1.37241,2014.02.19 00:00:00,48520
1.37324,1.37178,1.37622,1.3686,2014.02.20 00:00:00,62006
1.37174,1.37315,1.37582,1.37018,2014.02.21 00:00:00,47740
1.37324,1.37341,1.37707,1.37081,2014.02.24 00:00:00,45571
1.37341,1.37442,1.37669,1.37151,2014.02.25 00:00:00,50172
1.37441,1.36859,1.37569,1.36615,2014.02.26 00:00:00,57686
1.36858,1.37093,1.37264,1.36429,2014.02.27 00:00:00,58091
1.37089,1.38005,1.38244,1.36936,2014.02.28 00:00:00,70757
1.37587,1.37339,1.37923,1.3726,2014.03.03 00:00:00,58151
1.37344,1.37423,1.37813,1.37206,2014.03.04 00:00:00,53710
1.37422,1.37322,1.37486,1.37072,2014.03.05 00:00:00,51799
1.37321,1.38604,1.38724,1.3721,2014.03.06 00:00:00,67546
1.38604,1.38742,1.3915,1.38521,2014.03.07 00:00:00,58474
1.38709,1.38775,1.38975,1.38612,2014.03.10 00:00:00,41138
1.38776,1.38583,1.38783,1.38336,2014.03.11 00:00:00,44348
1.38582,1.39018,1.39141,1.38431,2014.03.12 00:00:00,44761
1.39021,1.38718,1.39665,1.38453,2014.03.13 00:00:00,67274
1.38716,1.39074,1.39371,1.38473,2014.03.14 00:00:00,59313
1.3913,1.39204,1.39474,1.3879,2014.03.17 00:00:00,45273
1.39205,1.39334,1.39424,1.38796,2014.03.18 00:00:00,52628
1.39334,1.38162,1.39337,1.38094,2014.03.19 00:00:00,59142
1.38163,1.37799,1.38445,1.3749,2014.03.20 00:00:00,59802
1.37801,1.37861,1.38106,1.37654,2014.03.21 00:00:00,43986
1.38008,1.38378,1.38756,1.37601,2014.03.24 00:00:00,49019
1.38378,1.38257,1.38467,1.37489,2014.03.25 00:00:00,63245
1.38255,1.37847,1.38273,1.37763,2014.03.26 00:00:00,52192
